,human_count,human_weight,human_panic,human_speed,Run,Total_steps
277,38,2.064453125,6.2548828125,1.548828125,277,17
278,38,2.064453125,4.6962890625,2.103515625,278,20
279,38,2.064453125,4.6962890625,1.548828125,279,18
280,14,1.380859375,0.3486328125,1.916015625,280,11
281,53,1.380859375,0.3486328125,1.916015625,281,23
282,14,1.501953125,0.3486328125,1.916015625,282,11
283,14,1.380859375,6.6650390625,1.916015625,283,11
284,14,1.380859375,0.3486328125,2.611328125,284,11
285,14,1.501953125,6.6650390625,2.611328125,285,11
286,53,1.380859375,6.6650390625,2.611328125,286,23
287,53,1.501953125,0.3486328125,2.611328125,287,21
288,53,1.501953125,6.6650390625,1.916015625,288,26
289,53,1.501953125,6.6650390625,2.611328125,289,23
290,49,2.380859375,3.8486328125,2.916015625,290,20
291,18,2.380859375,3.8486328125,2.916015625,291,13
292,49,2.501953125,3.8486328125,2.916015625,292,23
293,49,2.380859375,3.1650390625,2.916015625,293,20
294,49,2.380859375,3.8486328125,1.611328125,294,22
295,49,2.501953125,3.1650390625,1.611328125,295,22
296,18,2.380859375,3.1650390625,1.611328125,296,12
297,18,2.501953125,3.8486328125,1.611328125,297,13
298,18,2.501953125,3.1650390625,2.916015625,298,12
299,18,2.501953125,3.1650390625,1.611328125,299,11
300,25,1.193359375,3.6298828125,2.353515625,300,18
301,29,1.193359375,3.6298828125,2.353515625,301,17
302,25,2.814453125,3.6298828125,2.353515625,302,14
303,25,1.193359375,0.3212890625,2.353515625,303,17
304,25,1.193359375,3.6298828125,2.798828125,304,17
305,25,2.814453125,0.3212890625,2.798828125,305,13
306,29,1.193359375,0.3212890625,2.798828125,306,17
307,29,2.814453125,3.6298828125,2.798828125,307,17
308,29,2.814453125,0.3212890625,2.353515625,308,16
309,29,2.814453125,0.3212890625,2.798828125,309,15
310,60,2.193359375,0.1298828125,1.353515625,310,26
311,64,2.193359375,0.1298828125,1.353515625,311,26
312,60,1.814453125,0.1298828125,1.353515625,312,24
313,60,2.193359375,3.8212890625,1.353515625,313,26
314,60,2.193359375,0.1298828125,1.798828125,314,23
315,60,1.814453125,3.8212890625,1.798828125,315,23
316,64,2.193359375,3.8212890625,1.798828125,316,24
317,64,1.814453125,0.1298828125,1.798828125,317,25
318,64,1.814453125,3.8212890625,1.353515625,318,27
319,64,1.814453125,3.8212890625,1.798828125,319,26
320,77,1.693359375,5.3798828125,2.853515625,320,32
321,47,1.693359375,5.3798828125,2.853515625,321,20
322,77,1.314453125,5.3798828125,2.853515625,322,32
323,77,1.693359375,2.0712890625,2.853515625,323,29
324,77,1.693359375,5.3798828125,1.298828125,324,30
325,77,1.314453125,2.0712890625,1.298828125,325,32
326,47,1.693359375,2.0712890625,1.298828125,326,19
327,47,1.314453125,5.3798828125,1.298828125,327,20
328,47,1.314453125,2.0712890625,2.853515625,328,22
329,47,1.314453125,2.0712890625,1.298828125,329,22
330,42,2.693359375,1.8798828125,1.853515625,330,19
