,human_count,human_weight,human_panic,Run,Total_steps
343,37,2.060546875,0.11005859374999999,343,21
344,24,2.693359375,0.18798828125,344,17
345,22,2.693359375,0.18798828125,345,16
346,24,1.060546875,0.18798828125,346,22
347,24,2.693359375,0.46005859374999997,347,54
348,24,1.060546875,0.46005859374999997,348,47
349,22,2.693359375,0.46005859374999997,349,28
350,22,1.060546875,0.18798828125,350,21
351,22,1.060546875,0.46005859374999997,351,43
352,20,1.943359375,0.10048828124999999,352,14
353,19,1.943359375,0.10048828124999999,353,14
354,20,1.310546875,0.10048828124999999,354,14
355,20,1.943359375,0.5475585937499999,355,44
356,20,1.310546875,0.5475585937499999,356,39
357,19,1.943359375,0.5475585937499999,357,35
358,19,1.310546875,0.10048828124999999,358,19
359,19,1.310546875,0.5475585937499999,359,63
360,16,1.193359375,0.36298828125,360,21
361,30,1.193359375,0.36298828125,361,28
362,16,1.560546875,0.36298828125,362,23
363,16,1.193359375,0.63505859375,363,141
364,16,1.560546875,0.63505859375,364,324
365,30,1.193359375,0.63505859375,365,364
366,30,1.560546875,0.36298828125,366,26
367,30,1.560546875,0.63505859375,367,444
368,31,2.193359375,0.012988281249999999,368,18
369,15,2.193359375,0.012988281249999999,369,11
370,31,2.560546875,0.012988281249999999,370,18
371,31,2.193359375,0.28505859375,371,26
372,31,2.560546875,0.28505859375,372,21
373,15,2.193359375,0.28505859375,373,21
374,15,2.560546875,0.012988281249999999,374,12
375,15,2.560546875,0.28505859375,375,21
376,39,1.693359375,0.53798828125,376,84
377,37,1.693359375,0.53798828125,377,78
378,39,2.060546875,0.53798828125,378,93
379,39,1.693359375,0.11005859374999999,379,25
380,39,2.060546875,0.11005859374999999,380,20
381,37,1.693359375,0.11005859374999999,381,25
382,37,2.060546875,0.53798828125,382,103
383,37,2.060546875,0.11005859374999999,383,24
384,24,2.693359375,0.18798828125,384,19
385,22,2.693359375,0.18798828125,385,18
386,24,1.060546875,0.18798828125,386,20
387,24,2.693359375,0.46005859374999997,387,50
388,24,1.060546875,0.46005859374999997,388,60
389,22,2.693359375,0.46005859374999997,389,66
390,22,1.060546875,0.18798828125,390,18
391,22,1.060546875,0.46005859374999997,391,28
392,20,1.943359375,0.10048828124999999,392,16
393,19,1.943359375,0.10048828124999999,393,16
394,20,1.310546875,0.10048828124999999,394,18
395,20,1.943359375,0.5475585937499999,395,50
396,20,1.310546875,0.5475585937499999,396,78
397,19,1.943359375,0.5475585937499999,397,145
398,19,1.310546875,0.10048828124999999,398,16
399,19,1.310546875,0.5475585937499999,399,31
