,human_count,human_weight,human_panic,Run,Escaped
222,37,2.060546875,0.53798828125,222,5
223,37,2.060546875,0.11005859374999999,223,0
224,24,2.693359375,0.18798828125,224,0
225,22,2.693359375,0.18798828125,225,0
226,24,1.060546875,0.18798828125,226,0
227,24,2.693359375,0.46005859374999997,227,2
228,24,1.060546875,0.46005859374999997,228,1
229,22,2.693359375,0.46005859374999997,229,1
230,22,1.060546875,0.18798828125,230,0
231,22,1.060546875,0.46005859374999997,231,1
232,20,1.943359375,0.10048828124999999,232,0
233,19,1.943359375,0.10048828124999999,233,0
234,20,1.310546875,0.10048828124999999,234,0
235,20,1.943359375,0.5475585937499999,235,4
236,20,1.310546875,0.5475585937499999,236,2
237,19,1.943359375,0.5475585937499999,237,2
238,19,1.310546875,0.10048828124999999,238,0
239,19,1.310546875,0.5475585937499999,239,5
240,16,1.193359375,0.36298828125,240,0
241,30,1.193359375,0.36298828125,241,1
242,16,1.560546875,0.36298828125,242,0
243,16,1.193359375,0.63505859375,243,7
244,16,1.560546875,0.63505859375,244,5
245,30,1.193359375,0.63505859375,245,7
246,30,1.560546875,0.36298828125,246,0
247,30,1.560546875,0.63505859375,247,8
248,31,2.193359375,0.012988281249999999,248,0
249,15,2.193359375,0.012988281249999999,249,0
250,31,2.560546875,0.012988281249999999,250,0
251,31,2.193359375,0.28505859375,251,0
252,31,2.560546875,0.28505859375,252,0
253,15,2.193359375,0.28505859375,253,0
254,15,2.560546875,0.012988281249999999,254,0
255,15,2.560546875,0.28505859375,255,0
256,39,1.693359375,0.53798828125,256,7
257,37,1.693359375,0.53798828125,257,5
258,39,2.060546875,0.53798828125,258,5
259,39,1.693359375,0.11005859374999999,259,0
260,39,2.060546875,0.11005859374999999,260,0
261,37,1.693359375,0.11005859374999999,261,0
262,37,2.060546875,0.53798828125,262,6
263,37,2.060546875,0.11005859374999999,263,0
264,24,2.693359375,0.18798828125,264,0
265,22,2.693359375,0.18798828125,265,0
266,24,1.060546875,0.18798828125,266,0
267,24,2.693359375,0.46005859374999997,267,1
268,24,1.060546875,0.46005859374999997,268,0
269,22,2.693359375,0.46005859374999997,269,4
270,22,1.060546875,0.18798828125,270,0
271,22,1.060546875,0.46005859374999997,271,2
272,20,1.943359375,0.10048828124999999,272,0
273,19,1.943359375,0.10048828124999999,273,0
274,20,1.310546875,0.10048828124999999,274,0
275,20,1.943359375,0.5475585937499999,275,2
276,20,1.310546875,0.5475585937499999,276,3
277,19,1.943359375,0.5475585937499999,277,1
278,19,1.310546875,0.10048828124999999,278,0
279,19,1.310546875,0.5475585937499999,279,1
280,16,1.193359375,0.36298828125,280,0
281,30,1.193359375,0.36298828125,281,1
282,16,1.560546875,0.36298828125,282,0
283,16,1.193359375,0.63505859375,283,3
284,16,1.560546875,0.63505859375,284,3
285,30,1.193359375,0.63505859375,285,7
286,30,1.560546875,0.36298828125,286,0
287,30,1.560546875,0.63505859375,287,5
288,31,2.193359375,0.012988281249999999,288,0
289,15,2.193359375,0.012988281249999999,289,0
290,31,2.560546875,0.012988281249999999,290,0
291,31,2.193359375,0.28505859375,291,0
292,31,2.560546875,0.28505859375,292,0
293,15,2.193359375,0.28505859375,293,0
294,15,2.560546875,0.012988281249999999,294,0
295,15,2.560546875,0.28505859375,295,0
296,39,1.693359375,0.53798828125,296,11
297,37,1.693359375,0.53798828125,297,8
298,39,2.060546875,0.53798828125,298,7
299,39,1.693359375,0.11005859374999999,299,0
300,39,2.060546875,0.11005859374999999,300,0
301,37,1.693359375,0.11005859374999999,301,0
302,37,2.060546875,0.53798828125,302,2
303,37,2.060546875,0.11005859374999999,303,0
304,24,2.693359375,0.18798828125,304,0
305,22,2.693359375,0.18798828125,305,0
306,24,1.060546875,0.18798828125,306,0
307,24,2.693359375,0.46005859374999997,307,2
308,24,1.060546875,0.46005859374999997,308,0
309,22,2.693359375,0.46005859374999997,309,0
310,22,1.060546875,0.18798828125,310,0
311,22,1.060546875,0.46005859374999997,311,0
312,20,1.943359375,0.10048828124999999,312,0
313,19,1.943359375,0.10048828124999999,313,0
314,20,1.310546875,0.10048828124999999,314,0
315,20,1.943359375,0.5475585937499999,315,2
316,20,1.310546875,0.5475585937499999,316,2
317,19,1.943359375,0.5475585937499999,317,1
318,19,1.310546875,0.10048828124999999,318,0
319,19,1.310546875,0.5475585937499999,319,5
320,16,1.193359375,0.36298828125,320,0
321,30,1.193359375,0.36298828125,321,0
322,16,1.560546875,0.36298828125,322,0
323,16,1.193359375,0.63505859375,323,4
324,16,1.560546875,0.63505859375,324,5
325,30,1.193359375,0.63505859375,325,9
326,30,1.560546875,0.36298828125,326,0
327,30,1.560546875,0.63505859375,327,3
328,31,2.193359375,0.012988281249999999,328,0
329,15,2.193359375,0.012988281249999999,329,0
330,31,2.560546875,0.012988281249999999,330,0
331,31,2.193359375,0.28505859375,331,0
332,31,2.560546875,0.28505859375,332,0
333,15,2.193359375,0.28505859375,333,0
334,15,2.560546875,0.012988281249999999,334,0
335,15,2.560546875,0.28505859375,335,0
336,39,1.693359375,0.53798828125,336,4
337,37,1.693359375,0.53798828125,337,9
338,39,2.060546875,0.53798828125,338,7
339,39,1.693359375,0.11005859374999999,339,0
340,39,2.060546875,0.11005859374999999,340,0
341,37,1.693359375,0.11005859374999999,341,0
342,37,2.060546875,0.53798828125,342,4
343,37,2.060546875,0.11005859374999999,343,0
344,24,2.693359375,0.18798828125,344,0
345,22,2.693359375,0.18798828125,345,0
346,24,1.060546875,0.18798828125,346,0
347,24,2.693359375,0.46005859374999997,347,0
348,24,1.060546875,0.46005859374999997,348,1
349,22,2.693359375,0.46005859374999997,349,0
350,22,1.060546875,0.18798828125,350,0
351,22,1.060546875,0.46005859374999997,351,1
352,20,1.943359375,0.10048828124999999,352,0
353,19,1.943359375,0.10048828124999999,353,0
354,20,1.310546875,0.10048828124999999,354,0
355,20,1.943359375,0.5475585937499999,355,1
356,20,1.310546875,0.5475585937499999,356,2
357,19,1.943359375,0.5475585937499999,357,5
358,19,1.310546875,0.10048828124999999,358,0
359,19,1.310546875,0.5475585937499999,359,3
360,16,1.193359375,0.36298828125,360,0
361,30,1.193359375,0.36298828125,361,1
362,16,1.560546875,0.36298828125,362,0
363,16,1.193359375,0.63505859375,363,3
364,16,1.560546875,0.63505859375,364,4
365,30,1.193359375,0.63505859375,365,5
366,30,1.560546875,0.36298828125,366,0
367,30,1.560546875,0.63505859375,367,2
368,31,2.193359375,0.012988281249999999,368,0
369,15,2.193359375,0.012988281249999999,369,0
370,31,2.560546875,0.012988281249999999,370,0
371,31,2.193359375,0.28505859375,371,0
372,31,2.560546875,0.28505859375,372,0
373,15,2.193359375,0.28505859375,373,0
374,15,2.560546875,0.012988281249999999,374,0
375,15,2.560546875,0.28505859375,375,0
376,39,1.693359375,0.53798828125,376,4
377,37,1.693359375,0.53798828125,377,5
378,39,2.060546875,0.53798828125,378,3
379,39,1.693359375,0.11005859374999999,379,0
380,39,2.060546875,0.11005859374999999,380,0
381,37,1.693359375,0.11005859374999999,381,0
382,37,2.060546875,0.53798828125,382,5
383,37,2.060546875,0.11005859374999999,383,0
384,24,2.693359375,0.18798828125,384,0
385,22,2.693359375,0.18798828125,385,0
386,24,1.060546875,0.18798828125,386,0
387,24,2.693359375,0.46005859374999997,387,1
388,24,1.060546875,0.46005859374999997,388,2
389,22,2.693359375,0.46005859374999997,389,0
390,22,1.060546875,0.18798828125,390,0
391,22,1.060546875,0.46005859374999997,391,1
392,20,1.943359375,0.10048828124999999,392,0
393,19,1.943359375,0.10048828124999999,393,0
394,20,1.310546875,0.10048828124999999,394,0
395,20,1.943359375,0.5475585937499999,395,1
396,20,1.310546875,0.5475585937499999,396,5
397,19,1.943359375,0.5475585937499999,397,1
398,19,1.310546875,0.10048828124999999,398,0
399,19,1.310546875,0.5475585937499999,399,1
